Retail ID,Retail Bldg Name,Retail Bldg Address,POSTAL,X-COORDINATES,Y-COORDINATES
92,510 Bedok North Street 3,510 Bedok North Street 3 460510,460510,38814.932,34948.7369
93,Telok Ayer Shop Houses,00 Telok Ayer Shop Houses (Default) 060000,060000,,
94,Balmoral Plaza,271 Bukit Timah Road 259708,259708,28241.9815,33190.2066
95,Upper Thomson Road Shop Houses,0 Upper Thomson Road Shop Houses 787000,787000,26447.0446,42723.5411
96,28RC Suites,28 Race Course Lane 218000,218000,30069.6943,32146.6632
97,Goldhill Shopping Centre,157 Thomson Road 307610,307610,29159.3546,33370.6994
98,Thomson Imperial Court,200 Upper Thomson Road 574424,574424,28305.9513,37097.2797
99,The Central,6 Eu Tong Sen Street 059817,059817,29473.438,30138.7431
100,Mount Elizabeth Novena Hospital,38 Irrawaddy Road 329563,329563,29213.9156,33821.768
101,Midpoint Orchard,220 Orchard Road 238852,238852,28594.4208,31570.5705
102,Shaw House,350 Orchard Road 238868,238868,27801.1614,32013.4114
103,The Grandstand (former Turf City),200 Turf Club Road 287994,287994,23558.1195,35638.6169
104,Aperia,00 KALLANG AVENUE 339999,339999,,
105,Square 2,10 Sinaran Drive 307506,307506,29206.6251,33662.3578
106,The Centrepoint,176 Orchard Road 238843,238843,28742.844,31515.7446
107,IMM Building,2 Jurong East Street 21 609601,609601,18399.0227,35222.4484
108,Circular Road,00 CIRCULAR ROAD 049999,049999,,
109,Paya Lebar Quarter,2 Paya Lebar Road 409053,409053,34613.7708,33124.139
110,Holland Village Market And Food...,3 Lorong Liput 277725,277725,23764.5402,32553.8587
111,Hougang Green Shopping Mall,21 Hougang Street 51 538719,538719,34068.5399,40143.7433
112,Bukit Pasoh Shop House,21 Cantonment Road 089742,089742,28764.5411,29059.7033
113,Elias Mall,625 Elias Road 510625,510625,40092.4604,40064.6402
114,Furama Riverfront,405 Havelock Road 169633,169633,28308.7513,30005.605
115,Palais Renaissance,390 Orchard Road 238871,238871,27584.8261,32108.7724
116,Wisma Atria,435 Orchard Road 238877,238877,27985.645,31781.9196
117,City Square Mall,180 Kitchener Road 208539,208539,30578.4383,32632.7594
118,Harbourfront Centre,1 Maritime Square 099253,099253,26544.8211,27388.8963
119,United Square,101 Thomson Road 307591,307591,29151.682,33260.6239
120,Orchard Central,181 Orchard Road 238896,238896,28722.2617,31464.1696
121,Bugis Village,158 Rochor Road 188433,188433,30440.5324,31474.4306
122,Mountbatten Square,229 Mountbatten Road 398007,398007,33336.6377,32198.4262
123,WestWay,27 West Coast Highway 117867,117867,22125.4866,29504.6987
124,Delfi Orchard,402 Orchard Road Singapore 238876,238876,27460.2549,32166.6263
125,Forum Galleria Shopping Centre,583 Orchard Road 238884,238884,27483.2737,32050.2099
126,One KM,11 Tanjong Katong Road 437157,437157,34806.7378,32997.5775
127,VIIO @ Balestier,520 Balestier Road 329853,329853,29400.5537,34355.8879
128,Valley Point Shopping Centre,491 River Valley Road 248371,248371,27290.209,30600.8644
129,China Square Central,18 Cross Street 048423,048423,29511.5575,29548.9087
130,Orchard Gateway,218 Orchard Road 238851,238851,28622.8309,31545.7522
131,Ue Square,83 Clemenceau Avenue 239918,239918,29043.6036,30506.5241
132,Eastpoint Mall,3 Simei St 6 528833,528833,41327.3021,36082.2298
133,Suntec City Mall,3 Temasek Boulevard 038983,038983,30860.6501,30926.2024
134,Siglap Centre,55 Siglap Road 455871,455871,38001.3468,32766.8041
135,JEM,50 Jurong Gateway Road 608549,608549,18022.0389,35103.2109
136,Velocity @ Novena Square,238 Thomson Road 307683,307683,29172.1136,33580.8177
137,Broadway Plaza (Former K Box Plaza),4190 Ang Mo Kio Avenue 6 569841,569841,29405.6643,39327.3736
138,Camden Medical Centre,1 Orchard Boulevard 248649,248649,26955.9206,31721.3738
139,Hougang Mall,90 Hougang Avenue 10 538766,538766,34715.4429,39368.8739
