Industrial ID,Industrial Bldg Name,Industrial Bldg Address,POSTAL,X-COORDINATES,Y-COORDINATES
246,Jurong Logistics Hub,31 Jurong Port Road 619115,619115,15374.84,32837.4003
247,Techplace 1,4008 Ang Mo Kio Avenue 10 569625,569625,30567.3348,37994.4031
248,Woodlands Spectrum I,2 Woodlands Sector 1 738068,738068,25354.4372,48484.9483
249,Alpha Building,45 Kallang Pudding Road 349317,349317,33083.5317,34604.2266
250,G7 Gani,57 Genting Lane 349564,349564,32680.9494,34399.5949
251,CES Building,69 Ubi Crescent 408561,408561,35218.5558,34413.2014
252,Kong Beng Industrial Building,41 Jalan Pemimpin 577186,577186,28940.967,36894.8779
253,MAE Building,48 MacTaggart Road 368088,368088,33564.7279,35183.0517
254,New Tech Park,151 Lorong Chuan 556741,556741,31047.0581,37129.6753
255,Tong Yuan Industrial Building,85 Playfair Road 368000,368000,33755.4055,35468.8761
256,34 Boon Leat Terrace,34 Boon Leat Terrace 119866,119866,23978.8791,28724.1421
257,Hudson Industrial Building,14 New Industrial Road 536203,536203,33853.8554,36085.9739
258,Hudson Technocentre,16 New Industrial Road 536204,536204,33870.274,36117.3754
259,Kolam Ayer Industrial Estate,161 Kallang Way 349247,349247,32633.1049,33824.6283
260,Ossia Building,10 Changi South Lane 486162,486162,41199.0596,34809.8365
261,Performance Building,158 Kallang Way 349245,349245,32814.3261,33933.6588
262,Pico Creative Centre,20 Kallang Avenue 339411,339411,31528.496,32455.699
263,Pm Industrial Building,135 Joo Seng Road 368363,368363,33508.4987,35582.8881
264,Techplace II,5000 Ang Mo Kio Avenue 5 569870,569870,31448.0981,39906.3182
265,UE Tech Park,10 Pandan Crescent 128466,128466,19759.7322,31988.2986
266,Woodlands Central,33 Marsiling Industrial Estate Road 3 739256,739256,22463.5002,46929.3033
267,6 Serangoon North Avenue 5,6 Serangoon North Avenue 5 554910,554910,31980.0919,39607.045
268,Fu Tsu Building,19 Kim Keat Road 328804,328804,30203.2134,34134.6435
269,Noel Building,50 Playfair Rd 367995,367995,33956.648,35162.712
270,Panasonic Building,2 Jalan Kilang Barat 159346,159346,25182.0529,29791.8347
271,Prosper House,101 Lorong 23 Geylang 388399,388399,33294.3991,33318.1812
272,Sime Darby Enterprise Centre,10 Jalan Kilang 159410,159410,25360.1012,29790.6928
