ID,POSTAL,X-COORDINATES,Y-COORDINATES
166,098749,25808.6215,28118.0153
167,098751,25829.4613,28144.3939
168,098752,25858.3245,28125.3774
169,098829,26894.8837,27632.9732
170,098830,26823.2023,27633.9275
171,098843,25791.1864,28049.0315
172,098844,25786.977,28053.3027
173,098845,25782.0419,28056.4354
174,098846,25777.1431,28059.5451
175,098847,25772.1224,28062.7345
176,098849,25757.0608,28071.4874
177,098851,25746.5497,28078.3468
178,098865,26839.6575,27675.3052
179,099106,26479.1374,27971.8975
180,099108,26479.1374,27971.8975
181,099110,26551.4234,27957.9264
182,099112,26551.4234,27957.9264
183,099169,25768.1654,28237.2475
184,099170,25902.6848,28390.8096
185,099196,26990.4973,28154.8119
186,099197,27016.0959,28152.9944
187,099200,27033.6438,27934.0732
188,099206,26978.8963,28154.2663
189,099208,27030.4787,28097.2982
190,099209,27042.0304,28096.2032
191,099228,25949.0252,28032.4018
192,099281,26787.7144,27742.9841
193,099282,26787.7144,27742.9841
194,099308,26945.9407,28808.4608
195,099309,27024.1284,28776.767
196,099310,26965.6609,28719.4974
197,099454,27350.0991,28303.6767
198,109024,25295.1362,28208.2626
199,109025,25161.9272,28329.5701
200,109026,25118.2871,28331.857
201,109030,25141.5943,28240.9825
202,109258,25236.5445,28273.8275
203,109684,24628.4343,29404.8511
204,109685,24628.4343,29404.8511
205,109686,24628.4343,29404.8511
206,109687,24628.4343,29404.8511
207,109688,24628.4343,29404.8511
208,109689,24628.4343,29404.8511
209,109690,24628.4343,29404.8511
210,109691,24628.4343,29404.8511
211,109692,24628.4343,29404.8511
212,109693,24628.4343,29404.8511
213,109694,24699.4704,29406.6573
214,109695,24699.4704,29406.6573
215,109696,24699.4704,29406.6573
216,109697,24699.4704,29406.6573
217,109698,24699.4704,29406.6573
218,109699,24699.4704,29406.6573
219,109700,24699.4704,29406.6573
220,109701,24699.4704,29406.6573
221,109702,24699.4704,29406.6573
222,109703,24699.4704,29406.6573
223,109704,24699.4704,29406.6573
224,109705,24699.4704,29406.6573
225,109707,24628.4343,29404.8511
226,109919,25293.3067,27658.4877
227,117422,22453.1877,29293.7987
228,117423,22433.3212,29314.7696
229,117425,22419.68,29337.7968
230,117452,22450.4317,29409.9343
231,117482,21881.7144,30027.8266
232,117484,21574.8969,30170.3142
233,117489,22658.5094,29239.9073
234,117490,22674.6682,29252.3648
235,117491,22692.7011,29272.8569
236,117492,22719.6391,29254.3572
237,117493,22702.2649,29232.6389
238,117494,22671.8789,29218.4288
239,117503,21935.9174,29424.5412
240,117504,20816.624,30458.5377
241,117505,20783.0639,30467.4087
242,117506,20795.7292,30427.4607
243,117526,22930.4848,29014.2262
244,117621,20878.6533,30403.7262
245,117629,22603.3784,29084.0755
246,117632,21031.9208,30347.5745
247,117634,21037.6553,30379.8448
248,117635,21039.7876,30396.4531
249,117665,21690.9856,30272.9829
250,117666,21688.282,30265.3444
251,117667,21685.5688,30258.0705
252,117668,21682.9591,30250.6828
253,117669,21680.29,30243.2986
254,117670,21677.6374,30236.0246
255,117671,21674.9346,30228.506
256,117679,21680.5259,30337.2885
257,117680,21678.6029,30331.9428
258,117681,21676.7697,30326.9013
259,117682,21674.9784,30321.7773
260,117683,21673.2156,30316.6968
261,117686,22814.3077,29347.959
262,117687,22835.1529,29439.7895
263,117688,22777.0517,29526.6839
264,117703,22495.655,29260.1742
265,117722,23974.5709,29549.1584
266,117752,23526.4587,28861.3061
267,117755,23558.3708,28950.8871
268,117756,23568.4181,29027.5756
269,117757,23484.3592,29041.4834
270,117777,23800.33,29712.149
271,118136,22723.764,29139.707
272,118143,22771.8551,29214.0852
273,118157,22827.206,29213.5857
274,118158,22830.1786,29219.8558
275,118159,22833.6637,29224.3222
276,118161,22841.3407,29233.308
277,118164,22846.4291,29252.6018
278,118166,22929.698,29289.5747
279,118167,23169.8429,29286.2511
280,118168,23224.9041,29263.2643
281,118170,23248.9789,29207.8582
282,118171,23275.5635,29240.7606
283,118172,23284.8539,29296.6526
284,118173,23206.2966,29316.5
285,118174,23151.3925,29352.2346
286,118175,23066.8405,29309.3664
287,118442,23557.9441,28775.6655
288,118443,23571.1769,28819.4289
289,118450,23600.1092,28912.2563
290,118454,23549.6028,29156.8472
291,118455,23506.5514,29187.3908
292,118456,23538.0695,29213.6928
293,118457,23580.274,29193.8706
294,118509,23780.354,28589.1223
295,118510,23773.3312,28589.046
296,118511,23767.3151,28591.229
297,118512,23761.3202,28593.3765
298,118513,23756.1734,28597.6357
299,118514,23750.5294,28599.0647
300,118527,23716.4618,28611.9227
301,118531,23710.9271,28614.0246
302,118539,23561.3375,28722.6412
303,118541,23550.5206,28724.8981
304,118542,23544.3765,28728.33
305,118544,23539.3891,28730.2725
306,118545,23533.086,28732.6892
307,118546,23528.4351,28732.5485
308,118548,23516.7766,28737.8596
309,118549,23532.5426,28815.2286
310,118553,23402.5396,28785.4837
311,118571,22906.7626,29029.8394
312,118572,22862.2915,29078.5942
313,118574,22665.6456,29039.4457
314,118575,22657.7964,29043.0197
315,118576,22649.627,29046.4573
316,118578,22641.7655,29049.7426
317,118579,22706.6893,29104.7079
318,118580,22633.8032,29053.7189
319,118582,22625.6578,29056.2324
320,118584,22615.0108,29058.9952
321,118604,22557.1312,29178.518
322,118607,22507.3593,29199.2642
323,118609,22509.8581,29244.682
324,118618,22471.4285,29310.7604
325,118633,22113.2865,29922.2645
326,118635,22080.494,29948.6335
327,118652,21842.6259,30070.8001
328,118653,21770.5408,30096.6639
329,118655,21851.8817,30249.8108
330,118668,21742.1569,30217.2868
331,118669,21763.1359,30271.5713
332,118676,21718.1163,30259.6033
333,118684,21631.6301,30143.4462
334,118687,21699.5739,30307.3238
335,118689,21644.2445,30238.0453
336,118690,21646.244,30243.4787
337,118691,21599.7393,30188.0047
338,118693,21571.3041,30196.7694
339,118695,21552.5732,30204.5968
340,118699,21465.7954,30327.7162
341,118707,21433.9192,30365.071
342,118709,21404.7092,30380.0629
343,118713,21261.1582,30320.002
344,118718,21234.054,30327.8753
345,118719,21188.5039,30347.4461
346,118720,21091.5037,30378.2375
347,118721,21085.3429,30349.4387
348,118722,21218.0454,30439.1218
349,118723,21200.305,30415.0657
350,118726,21078.1247,30350.9819
351,118728,21077.0383,30381.3093
352,118729,21070.9463,30352.5166
353,118732,21063.7692,30354.051
354,118734,21062.8132,30384.3302
355,118735,21056.6005,30355.5837
356,118736,21055.5085,30385.8814
357,118737,21049.4802,30357.1059
358,118753,20891.2716,30542.4071
359,118756,20902.1602,30552.2172
360,118816,21648.2022,30248.7436
361,118818,21652.1113,30259.2661
362,118819,21654.0569,30264.5214
363,118820,21655.9911,30269.7775
364,118821,21657.9391,30274.9932
365,118822,21659.9993,30280.5304
366,118823,21667.6899,30301.2194
367,118824,21669.6147,30306.5745
368,118825,21671.4104,30311.6649
369,118836,22776.3518,29363.2709
370,118838,22774.9203,29370.1908
371,118840,22773.6171,29377.3791
372,118842,22761.1575,29404.3996
373,118843,22761.7928,29400.7096
374,118844,22761.7928,29400.7096
375,118846,22743.6701,29433.2742
376,118847,22735.2327,29437.3616
377,118848,22726.7232,29442.8931
378,118850,22719.5576,29448.1457
379,118851,22714.8807,29455.9389
380,118852,22712.5842,29467.0999
381,118853,22661.2902,29296.5227
382,118854,22696.3581,29491.6082
383,118856,22697.0675,29491.4932
384,118858,22697.0675,29491.4932
385,118859,22697.0675,29491.4932
386,118860,22608.0074,29341.2979
387,118861,22697.0675,29491.4932
388,118862,22520.4516,29402.4277
389,118863,22530.9217,29350.4751
390,118864,22507.8761,29375.6725
391,118885,22701.5084,29333.9673
392,118886,22729.8698,29315.1876
393,118892,22701.294,29373.4317
394,118893,22603.6943,29438.7972
395,118894,22661.2289,29465.9706
396,118895,22649.6325,29506.2241
397,118896,22587.4486,29513.5991
398,118897,22759.6724,29199.7775
399,118898,22761.8127,29204.7391
400,118972,21210.6247,30523.5684
401,118973,21210.6247,30523.5684
402,118974,21210.6247,30523.5684
403,118975,21210.6247,30523.5684
404,118976,21236.1014,30505.8435
405,118977,21244.5194,30525.1026
406,118978,21244.5194,30525.1026
407,118979,21244.5194,30525.1026
408,118980,21244.5194,30525.1026
409,118998,23286.0266,29904.2553
410,118999,23339.7012,29863.8366
411,119000,23422.6429,29952.722
412,119001,23518.3795,30053.7775
413,119002,23567.7653,30020.1952
414,119003,23336.1412,29933.2426
415,119004,23374.5972,29933.3829
416,119005,23441.7367,29872.118
417,119006,23441.726,29834.8319
418,119007,23493.1385,29891.0861
419,119008,23503.1679,29857.4543
420,119009,23497.3178,30006.3581
421,119010,23529.3541,29976.1065
422,119052,20895.0242,30579.5873
423,119161,23015.854,29220.8941
424,119162,23015.854,29220.8941
425,119163,23015.854,29220.8941
426,119164,23015.854,29220.8941
427,119165,23015.854,29220.8941
428,119166,23015.854,29220.8941
429,119167,23015.854,29220.8941
430,119168,23015.854,29220.8941
431,119174,23087.9107,29196.3554
432,119462,23459.4901,28779.2057
433,119519,23412.6409,29125.7608
434,119520,23433.5866,29184.9095
435,119521,23509.7853,29117.6457
436,119522,23586.0381,29095.9514
437,119600,21366.4295,30370.6868
438,119601,21366.3239,30370.6547
439,119602,21366.3239,30370.6547
440,119603,21366.3239,30370.6547
441,119604,21366.3239,30370.6547
442,119744,22987.9054,28935.0911
443,119745,22919.1176,28957.6557
444,119749,23048.7581,28991.761
445,119886,24106.0934,29358.4818
446,119913,22438.6672,29467.514
447,119914,22436.993,29505.3415
448,119915,22465.0836,29543.5784
449,119916,22543.7873,29504.2356
450,119918,22516.3513,29469.3896
451,119919,22492.9511,29433.2044
452,126793,20353.5264,31173.5179
453,126794,20320.9967,31161.4512
454,126805,20623.9983,30581.9435
455,126806,20619.2129,30585.5997
456,126807,20614.868,30588.8598
457,126808,20610.5215,30592.5363
458,126810,20679.0095,31020.721
459,126812,20634.7621,30593.8236
460,126813,20629.7608,30597.5999
461,126814,20625.7184,30601.9231
462,126815,20667.6042,30889.1537
463,126816,20678.0994,30928.7031
464,126817,20677.298,30986.4218
465,126818,20748.1165,30981.6039
466,126819,20752.1716,31012.2394
467,126820,20732.3127,30709.8948
468,126821,20700.5215,30618.5556
469,126822,20722.828,30644.616
470,126823,20741.6494,30668.647
471,126824,20758.0317,30690.5333
472,126826,20637.9703,30780.9276
473,126827,20635.3932,30812.8689
474,126828,20641.4362,30856.9214
475,126829,20667.8119,30853.1187
476,126830,20695.1284,30849.8542
477,126831,20725.2972,30845.8107
478,126832,20753.6459,30842.6418
479,126833,20788.7652,30836.3742
480,126834,20816.1008,30830.1055
481,126835,20773.2795,30891.1158
482,126836,20741.5547,30894.748
483,126837,20740.4244,30945.542
484,126838,20768.3569,30942.1968
485,126839,20824.8553,30894.5534
486,126840,20851.6346,30889.1601
487,126842,20862.2588,30842.611
488,126843,20852.6636,30801.5067
489,126984,19276.0032,32991.104
490,127015,19427.4081,33366.2111
491,127016,19397.3831,33380.3639
492,127017,19367.8041,33394.6784
493,127018,19329.136,33377.4161
494,127019,19347.6629,33350.6934
495,127020,19370.0956,33313.7444
496,127021,19392.7602,33279.7203
497,127022,19424.1732,33280.6533
498,127140,19968.4227,32474.0982
499,127146,19990.4783,32512.9239
500,127158,19946.5345,32435.2136
501,127159,20023.2255,32543.6994
502,127160,20042.0115,32570.3348
503,127161,20101.3307,32591.9732
504,127162,20145.8402,32576.5957
505,127298,20675.876,30627.6281
506,127300,20645.0181,30586.1213
507,127301,20639.5528,30590.1803
508,127302,20668.5128,30653.736
509,127303,20684.0468,30681.0333
510,127304,20634.7448,30573.9902
511,127305,20629.4721,30576.3314
512,127306,20722.0257,30741.8932
513,127307,20748.1512,30748.8603
514,127308,20715.6662,30688.1374
515,127335,20776.689,30732.0566
516,127343,20800.7617,30720.7767
517,127358,20534.4115,30833.967
518,127363,20800.1204,30937.5765
519,127365,20521.6404,30904.5222
520,127371,20522.6685,31781.8682
521,127446,20664.3786,30722.7092
522,127447,20678.5976,30744.8652
523,127448,20692.2199,30770.2086
524,127449,20703.4726,30795.1891
525,127450,20748.9298,30791.9607
526,127451,20774.4306,30780.4853
527,127452,20833.0335,30759.9647
528,127466,19124.5466,33183.7968
529,127468,19067.3881,33181.788
530,127470,19021.5615,33199.6379
531,127472,19056.3772,33262.621
532,127474,19099.1235,33274.0302
533,127476,19132.4274,33241.9432
534,127485,19171.5013,33089.0822
535,127518,19311.1904,33079.3885
536,127579,19612.3572,32955.3093
537,127581,19609.4063,32961.0729
538,127584,19677.5715,32846.9964
539,127647,19120.0707,33367.1153
540,127649,19103.7249,33460.5088
541,127651,19210.8954,33465.9587
542,127712,19288.4796,33533.0796
543,127713,19327.167,33475.9258
544,127714,19327.167,33475.9258
545,127715,19327.167,33475.9258
546,127716,19327.167,33475.9258
547,127717,19327.167,33475.9258
548,127718,19327.167,33475.9258
549,127719,19327.167,33475.9258
550,127720,19225.2392,33371.2839
551,127721,19176.1858,33360.0326
552,127722,19146.0869,33343.4912
553,127723,19091.8998,33356.7107
554,127724,19075.4419,33346.3332
555,127725,19132.1903,33470.0202
556,127726,19167.5029,33477.2797
557,127727,19241.8332,33444.5128
558,127751,19653.5702,32812.1193
559,127778,19773.7445,32800.1141
560,127814,19361.5696,33018.0809
561,127997,19624.0972,33087.5631
562,127999,19647.7558,33061.3243
563,128001,19675.4158,33039.6629
564,128002,19803.7292,32906.1153
565,128015,19697.7661,33014.488
566,128016,19725.4506,32994.1665
567,128017,19747.3166,32967.173
568,128018,19778.9182,32932.0636
569,128035,20468.4227,31223.2849
570,128036,20549.0639,31233.5375
571,128037,20552.8956,31295.1409
572,128038,20536.7684,31321.504
573,128040,20439.9598,31284.5395
574,128041,20544.9508,31098.8856
575,128042,20584.2347,31110.965
576,128044,20534.1519,31177.9485
577,128045,20445.2826,31035.8722
578,128046,20407.3702,31024.0626
579,128047,20391.232,31060.7625
580,128048,20373.5368,31096.8071
581,128049,20407.5673,31116.7177
582,128083,19515.452,32925.1125
